Date,Price,Volume
2017-11-24,9.177,1
2017-11-27,9.813,1
2017-11-29,9.836,1
2017-12-04,9.754,1
2017-12-06,10.493,1
2017-12-07,10.554,1
2017-12-09,9.271,1
2017-12-13,10.548,2
2017-12-14,11.196,1
2017-12-15,12.674,1
2017-12-16,12.692,1
2017-12-20,12.543,1
2017-12-21,12.426,2
2018-01-05,10.932,1
2018-01-07,9.095,1
2018-01-09,9.196,1
2018-01-17,7.386,1
2018-01-24,6.978,1
2018-01-26,8.061,3
2018-01-27,6.947,1
2018-01-29,7.509,1
2018-01-30,5.507,1
2018-01-31,4.534,1
2018-02-01,6.728,1
2018-02-02,6.764,1
2018-02-03,4.534,1
2018-02-07,5.155,3
2018-02-14,10.374,14
2018-02-19,7.313,1
2018-02-20,7.214,1
2018-02-28,5.045,1
2018-03-06,10.349,1
2018-03-08,10.43,1
2018-03-12,8.3,1
2018-03-13,8.3,1
2018-03-17,10.465,3
2018-03-26,9.141,1
2018-03-29,8.044,1
2018-04-02,6.756,1
2018-04-05,9.34,1
2018-04-11,9.689,1
2018-04-13,9.678,1
2018-04-15,7.369,2
2018-04-23,9.535,1
2018-05-01,8.811,3
2018-05-13,8.387,1
2018-05-25,7.459,2
2018-05-30,8.399,2
2018-06-04,8.331,2
2018-06-08,8.188,1
2018-06-12,8.105,1
2018-06-14,8.261,1
2018-06-22,8.048,1
2018-06-27,8.19,1
2018-07-05,8.121,1
2018-07-06,8.159,1
2018-07-10,8.301,1
2018-07-11,8.392,1
2018-07-18,8.333,1
2018-07-19,8.301,1
2018-07-25,8.594,1
2018-07-26,7.356,1
2018-07-30,7.359,1
2018-08-04,8.436,1
2018-08-06,6.91,1
2018-08-12,8.757,1
2018-08-13,8.91,1
2018-08-16,6.691,1
2018-08-17,7.423,1
2018-08-19,8.763,1
2018-08-25,4.793,1
2018-08-26,8.886,1
2018-08-30,9.018,2
2018-09-01,9.213,1
2018-09-02,9.28,1
2018-09-04,9.375,1
2018-09-05,9.331,2
2018-09-10,9.771,1
2018-09-17,9.804,1
2018-09-23,5.787,1
2018-09-26,6.581,1
2018-09-29,4.864,1
2018-10-04,3.371,1
2018-10-06,9.477,1
2018-10-09,9.799,1
2018-10-18,10.676,1
2018-10-25,4.999,1
2018-10-31,10.901,1
2018-11-20,10.676,1
2018-11-21,10.793,2
2018-11-27,10.823,1
2018-12-02,10.785,1
2018-12-12,10.574,1
2018-12-20,10.647,1
2019-01-05,23.839,1
2019-01-13,19.016,1
2019-01-14,22.831,1
2019-01-17,11.883,1
2019-02-18,17.743,1
2019-02-26,12.397,1
2019-03-04,10.969,1
2019-03-05,14.799,3
2019-04-07,6.698,1
2019-04-13,9.65,1
2019-04-15,15.257,1
2019-04-16,15.326,1
2019-04-19,15.289,1
2019-04-21,15.32,1
2019-05-04,15.065,2
2019-05-05,15.248,1
2019-05-06,14.637,1
2019-05-09,16.803,1
2019-05-21,14.301,1
2019-05-30,16.251,1
2019-06-05,17.195,1
2019-06-08,17.635,1
2019-06-09,17.55,1
2019-06-10,17.651,1
2019-06-25,18.662,2
2019-06-30,13.312,1
2019-07-10,13.109,1
2019-07-15,11.542,1
2019-07-16,21.724,1
2019-07-27,21.559,1
2019-08-01,21.577,1
2019-08-03,22.76,2
2019-08-19,14.045,1
2019-08-20,25.119,1
2019-08-25,25.843,2
2019-08-27,28.843,1
2019-09-02,20.556,1
2019-09-07,14.415,3
2019-09-09,14.53,1
2019-09-11,14.602,1
2019-09-12,22.237,1
2019-09-14,22.441,1
2019-10-29,16.491,1
2019-11-19,16.35,1
2019-11-21,18.307,1
2019-11-25,16.336,1
2019-12-07,15.858,1
2020-01-01,17.15,1
2020-01-04,26.507,2
