Date,Price,Volume
2018-03-08,1.336,96
2018-03-09,1.312,101
2018-03-10,1.312,100
2018-03-11,1.323,106
2018-03-12,1.262,97
2018-03-13,1.318,79
2018-03-14,1.291,93
2018-03-15,1.285,81
2018-03-16,1.322,111
2018-03-17,1.332,142
2018-03-18,1.337,96
2018-03-19,1.355,56
2018-03-20,1.299,52
2018-03-21,1.36,63
2018-03-22,1.368,60
2018-03-23,1.354,91
2018-03-24,1.364,87
2018-03-25,1.382,61
2018-03-26,1.346,81
2018-03-27,1.354,76
2018-03-28,1.305,68
2018-03-29,1.356,84
2018-03-30,1.259,121
2018-03-31,1.329,74
2018-04-01,1.38,72
2018-04-02,1.34,134
2018-04-03,1.386,104
2018-04-04,1.397,88
2018-04-05,1.424,110
2018-04-06,1.434,113
2018-04-07,1.448,118
2018-04-08,1.406,100
2018-04-09,1.424,96
2018-04-10,1.385,66
2018-04-11,1.39,68
2018-04-12,1.383,75
2018-04-13,1.413,83
2018-04-14,1.461,104
2018-04-15,1.437,75
2018-04-16,1.513,82
2018-04-17,1.519,60
2018-04-18,1.55,62
2018-04-19,1.554,60
2018-04-20,1.539,69
2018-04-21,1.528,81
2018-04-22,1.521,82
2018-04-23,1.526,103
2018-04-24,1.552,118
2018-04-25,1.628,107
2018-04-26,1.611,68
2018-04-27,1.626,71
2018-04-28,1.618,99
2018-04-29,1.615,149
2018-04-30,1.614,125
2018-05-01,1.629,139
2018-05-02,1.636,122
2018-05-03,1.668,98
2018-05-04,1.682,96
2018-05-05,1.681,84
2018-05-06,1.678,96
2018-05-07,1.685,81
2018-05-08,1.671,76
2018-05-09,1.588,52
2018-05-10,1.603,75
2018-05-11,1.662,54
2018-05-12,1.694,86
2018-05-13,1.723,57
2018-05-14,1.768,45
2018-05-15,1.767,38
2018-05-16,1.699,58
2018-05-17,1.697,49
2018-05-18,1.753,79
2018-05-19,1.673,56
2018-05-20,1.699,73
2018-05-21,1.602,45
2018-05-22,1.664,137
2018-05-23,1.636,69
2018-05-24,1.734,57
2018-05-25,1.737,58
2018-05-26,1.741,63
2018-05-27,1.688,57
2018-05-28,1.791,52
2018-05-29,1.768,46
2018-05-30,1.681,48
2018-05-31,1.69,86
2018-06-01,1.717,60
2018-06-02,1.715,62
2018-06-03,1.682,90
2018-06-04,1.699,84
2018-06-05,1.74,68
2018-06-06,1.729,62
2018-06-07,1.731,30
2018-06-08,1.677,69
2018-06-09,1.693,59
